iso3,stance,baby_bonus,parental_leave,childcare_subsidy,tax_incentive,notes
ABW,,,,,,
AFG,lower,,,,,
AGO,lower,,,,,
ALB,raise,,,,,
AND,,,,,,
ARE,raise,,,,,
ARG,maintain,,,,,
ARM,raise,,,,,
ASM,,,,,,
ATG,none,,,,,
AUS,none,,,,,
AUT,raise,,,,,
AZE,maintain,,,,,
BDI,lower,,,,,
BEL,maintain,,,,,
BEN,lower,,,,,
BFA,lower,,,,,
BGD,lower,,,,,
BGR,raise,,,,,
BHR,lower,,,,,
BHS,none,,,,,
BIH,none,,,,,
BLR,raise,,,,,
BLZ,none,,,,,
BMU,,,,,,
BOL,maintain,,,,,
BRA,none,,,,,
BRB,none,,,,,
BRN,none,,,,,
BTN,lower,,,,,
BWA,maintain,,,,,
CAF,none,,,,,
CAN,none,,,,,
CHE,none,,,,,
CHL,raise,,,,,
CHN,raise,,,,,
CIV,,,,,,
CMR,lower,,,,,
COD,,,,,,
COG,none,,,,,
COL,maintain,,,,,
COM,lower,,,,,
CPV,lower,,,,,
CRI,none,,,,,
CUB,raise,,,,,
CUW,,,,,,
CYM,,,,,,
CYP,raise,,,,,
CZE,none,,,,,
DEU,none,,,,,
DJI,lower,,,,,
DMA,,,,,,
DNK,none,,,,,
DOM,lower,,,,,
DZA,lower,,,,,
ECU,lower,,,,,
EGY,lower,,,,,
ERI,lower,,,,,
ESP,raise,,,,,
EST,raise,,,,,
ETH,lower,,,,,
FIN,raise,,,,,
FJI,lower,,,,,
FRA,raise,,,,,
FRO,,,,,,
FSM,lower,,,,,
GAB,raise,,,,,
GBR,none,,,,,
GEO,raise,,,,,
GHA,lower,,,,,
GIB,,,,,,
GIN,lower,,,,,
GMB,lower,,,,,
GNB,lower,,,,,
GNQ,lower,,,,,
GRC,raise,,,,,
GRD,maintain,,,,,
GRL,,,,,,
GTM,none,,,,,
GUM,,,,,,
GUY,raise,,,,,
HKG,,,,,,
HND,none,,,,,
HRV,raise,,,,,
HTI,lower,,,,,
HUN,raise,,,,,
IDN,lower,,,,,
IMN,,,,,,
IND,lower,,,,,
IRL,none,,,,,
IRN,raise,,,,,
IRQ,none,,,,,
ISL,maintain,,,,,
ISR,raise,,,,,
ITA,raise,,,,,
JAM,lower,,,,,
JOR,lower,,,,,
JPN,raise,,,,,
KAZ,raise,,,,,
KEN,lower,,,,,
KGZ,raise,,,,,
KHM,none,,,,,
KIR,lower,,,,,
KNA,,,,,,
KOR,raise,,,,,
KWT,raise,,,,,
LAO,,,,,,
LBN,none,,,,,
LBR,none,,,,,
LBY,none,,,,,
LCA,none,,,,,
LIE,,,,,,
LKA,none,,,,,
LSO,lower,,,,,
LTU,raise,,,,,
LUX,raise,,,,,
LVA,raise,,,,,
MAC,,,,,,
MAF,,,,,,
MAR,maintain,,,,,
MCO,,,,,,
MDA,raise,,,,,
MDG,lower,,,,,
MDV,none,,,,,
MEX,lower,,,,,
MHL,,,,,,
MKD,raise,,,,,
MLI,lower,,,,,
MLT,raise,,,,,
MMR,none,,,,,
MNE,lower,,,,,
MNG,raise,,,,,
MNP,,,,,,
MOZ,lower,,,,,
MRT,lower,,,,,
MUS,raise,,,,,
MWI,lower,,,,,
MYS,none,,,,,
NAM,none,,,,,
NCL,,,,,,
NER,lower,,,,,
NGA,lower,,,,,
NIC,lower,,,,,
NLD,none,,,,,
NOR,none,,,,,
NPL,lower,,,,,
NRU,,,,,,
NZL,none,,,,,
OMN,maintain,,,,,
PAK,lower,,,,,
PAN,none,,,,,
PER,lower,,,,,
PHL,lower,,,,,
PLW,,,,,,
PNG,lower,,,,,
POL,raise,,,,,
PRI,,,,,,
PRK,,,,,,
PRT,raise,,,,,
PRY,maintain,,,,,
PSE,none,,,,,
PYF,,,,,,
QAT,raise,,,,,
ROU,raise,,,,,
RUS,raise,,,,,
RWA,lower,,,,,
SAU,raise,,,,,
SDN,none,,,,,
SEN,lower,,,,,
SGP,raise,,,,,
SLB,lower,,,,,
SLE,lower,,,,,
SLV,lower,,,,,
SMR,,,,,,
SOM,none,,,,,
SRB,raise,,,,,
SSD,raise,,,,,
STP,none,,,,,
SUR,none,,,,,
SVK,raise,,,,,
SVN,none,,,,,
SWE,none,,,,,
SWZ,lower,,,,,
SXM,,,,,,
SYC,none,,,,,
SYR,lower,,,,,
TCA,,,,,,
TCD,lower,,,,,
TGO,lower,,,,,
THA,raise,,,,,
TJK,lower,,,,,
TKM,raise,,,,,
TLS,lower,,,,,
TON,maintain,,,,,
TTO,maintain,,,,,
TUN,maintain,,,,,
TUR,raise,,,,,
TUV,,,,,,
TZA,maintain,,,,,
UGA,lower,,,,,
UKR,raise,,,,,
URY,none,,,,,
USA,none,,,,,
UZB,none,,,,,
VCT,,,,,,
VEN,,,,,,
VGB,,,,,,
VIR,,,,,,
VNM,maintain,,,,,
VUT,lower,,,,,
WSM,lower,,,,,
YEM,lower,,,,,
ZAF,none,,,,,
ZMB,lower,,,,,
ZWE,lower,,,,,
