iso3,fem_years_schooling,gii,social_cohesion
ABW,,,
AFG,1.174129963,0.665,0.000
AGO,4.462809114,0.52,
ALB,9.811468219,0.116,0.924
AND,11.52258968,,
ARE,12.58837032,0.035,1.164
ARG,11.39165974,0.292,1.381
ARM,11.32151985,0.198,1.154
ASM,,,
ATG,10.3442228,,
AUS,12.81058979,0.063,1.461
AUT,12.04894857,0.048,1.336
AZE,10.21799194,0.329,0.876
BDI,2.636837474,0.499,
BEL,12.50440062,0.044,1.440
BEN,2.059994265,0.649,0.128
BFA,1.634014826,0.577,0.685
BGD,6.755380154,0.498,0.249
BGR,11.50780964,0.206,1.469
BHR,10.78437042,0.181,
BHS,12.82493607,0.333,
BIH,9.778189659,0.148,1.318
BLR,12.26702163,0.096,
BLZ,9.042070389,0.454,
BMU,,,
BOL,9.216730118,0.418,1.179
BRA,8.486056479,0.391,1.269
BRB,10.35100499,0.289,
BRN,9.23,0.279,
BTN,5.211722545,0.334,
BWA,10.36,0.483,0.969
CAF,2.656642005,,
CAN,13.96031896,0.069,1.459
CHE,13.5494734,0.018,1.425
CHL,11.02533818,0.19,1.369
CHN,7.543190438,0.186,1.239
CIV,3.055541139,0.612,0.578
CMR,5.633947949,0.555,0.856
COD,5.849373167,0.605,0.665
COG,7.242174036,0.572,0.622
COL,9.016329765,0.392,1.241
COM,5.222353096,,0.328
CPV,5.807281856,0.325,
CRI,8.892390251,0.232,1.373
CUB,10.64826957,0.3,
CUW,,,
CYM,,,
CYP,12.41040993,0.253,1.217
CZE,12.77560331,0.113,1.511
DEU,13.99030018,0.071,1.390
DJI,2.853793993,,
DMA,8.9922852,,
DNK,13.15695,0.009,1.520
DOM,9.559819495,0.433,1.272
DZA,6.490567748,0.46,1.191
ECU,8.920129776,0.371,1.151
EGY,10.22875714,0.389,0.996
ERI,3.975357679,,
ESP,10.52787018,0.059,1.471
EST,13.78102016,0.093,1.527
ETH,1.671867083,0.494,0.915
FIN,13.11326253,0.032,1.572
FJI,10.43344021,0.332,
FRA,11.53085299,0.084,1.348
FRO,,,
FSM,6.8911421,,
GAB,10.42,0.524,1.038
GBR,13.44999981,0.094,1.326
GEO,12.7620697,0.283,0.990
GHA,5.553439108,0.512,0.747
GIB,,,
GIN,1.402865117,0.609,0.622
GMB,3.672250032,0.585,0.684
GNB,2.470246,0.631,
GNQ,8.1781822,,
GRC,11.09685993,0.12,1.276
GRD,9.79266232,,
GRL,,,
GTM,5.204884199,0.474,1.169
GUM,,,
GUY,8.703121311,0.416,
HKG,11.99598026,,1.184
HND,6.867461256,0.413,1.035
HRV,12.11152878,0.087,1.445
HTI,5.093575575,0.621,
HUN,12.09698963,0.23,1.528
IDN,8.206930161,0.439,1.184
IMN,,,
IND,5.529439926,0.437,0.653
IRL,11.86322577,0.072,1.390
IRN,10.74479281,0.484,1.136
IRQ,5.648159084,0.562,0.996
ISL,13.86952972,0.039,1.617
ISR,13.49055743,0.092,1.513
ITA,10.60560989,0.057,1.328
JAM,9.859584688,0.35,1.324
JOR,10.07157993,0.449,0.983
JPN,12.3520298,0.078,1.354
KAZ,12.45658094,0.177,1.457
KEN,7.109600067,0.533,0.895
KGZ,11.88298442,0.345,1.477
KHM,4.373630047,0.486,1.019
KIR,9.292067793,,
KNA,11.1219032,,
KOR,11.97633078,0.062,1.178
KWT,8.272894602,0.199,1.364
LAO,4.995009421,0.467,0.846
LBN,8.047852662,0.365,0.577
LBR,3.62626494,0.656,0.673
LBY,8.435953453,0.266,1.100
LCA,8.837794323,0.347,
LIE,12.09086443,,
LKA,11.12806034,0.376,1.179
LSO,8.189024107,0.552,0.851
LTU,13.58351994,0.098,1.454
LUX,12.93417865,0.043,1.355
LVA,13.64862723,0.142,1.508
MAC,,,
MAF,,,
MAR,5.14,0.44,0.471
MCO,,,
MDA,11.87922207,0.156,1.277
MDG,4.292349815,0.574,0.823
MDV,7.869674371,0.328,
MEX,9.096670151,0.352,1.241
MHL,12.74359657,,
MKD,9.653639793,0.134,1.277
MLI,1.135959983,0.607,0.688
MLT,12.00041962,0.117,1.444
MMR,6.195670039,0.479,0.988
MNE,12.0696905,0.114,1.318
MNG,9.949589729,0.297,1.511
MNP,,,
MOZ,3.228760004,0.477,0.883
MRT,4.11278431,0.603,0.705
MUS,9.864661688,0.369,1.358
MWI,4.292150021,0.579,0.410
MYS,10.6902567,0.202,1.143
