iso3,social_capital
AK,0.39
AL,-0.94
AR,-1.29
AZ,-1.33
CA,-0.85
CO,1.14
CT,0.61
DC,-0.7
DE,-0.56
FL,-1.5
GA,-0.88
HI,-0.35
IA,1.07
ID,0.69
IL,-0.22
IN,0.14
KS,0.61
KY,-0.63
LA,-2.15
MA,0.38
MD,-0.09
ME,1.09
MI,-0.14
MN,1.81
MO,-0.02
MS,-1.15
MT,0.76
NC,-0.46
ND,0.98
NE,1.09
NH,1.45
NJ,-0.29
NM,-1.5
NV,-1.73
NY,-0.98
OH,-0.26
OK,-0.71
OR,0.79
PA,-0.01
RI,0.24
SC,-0.64
SD,1.01
TN,-0.7
TX,-1.0
UT,2.08
VA,0.63
VT,1.37
WA,0.73
WI,1.61
WV,-0.45
WY,0.86
