iso3,iso_num,name,region,tfr,tfr_year,population,broadband,income_pc,home_value,fem_bachelors,flfp,urbanisation,social_capital,religiosity
AL,1,Alabama,South,1.862,2022,5074296.0,87.4,33777.0,200900.0,29.8,53.8,57.7,,
AK,2,Alaska,West,2.023,2022,733583.0,91.6,43054.0,336900.0,33.9,61.9,64.9,,
AZ,4,Arizona,West,1.812,2022,7359197.0,91.1,39819.0,402800.0,33.2,55.5,89.3,,
AR,5,Arkansas,South,2.047,2022,3045637.0,86.8,31380.0,179800.0,27.2,53.0,55.5,,
CA,6,California,West,1.682,2022,39029342.0,93.4,46661.0,715900.0,37.9,58.4,94.2,,
CO,8,Colorado,West,1.679,2022,5839926.0,93.2,49071.0,531100.0,47.3,63.9,86.0,,
CT,9,Connecticut,Northeast,1.643,2022,3626205.0,92.1,51581.0,347200.0,43.6,61.3,86.3,,
DE,10,Delaware,South,2.015,2022,1018396.0,92.5,42571.0,337200.0,37.2,58.9,82.6,,
DC,11,District of Columbia,South,1.27,2022,671803.0,92.8,71699.0,711100.0,63.8,70.1,100.0,,
FL,12,Florida,South,1.747,2022,22244823.0,91.7,40278.0,354100.0,34.8,55.1,91.5,,
GA,13,Georgia,South,2.014,2022,10912876.0,91.2,38378.0,297400.0,35.9,59.4,74.1,,
HI,15,Hawaii,West,1.766,2022,1440196.0,91.3,42710.0,820100.0,37.5,59.0,86.1,,
ID,16,Idaho,West,2.037,2022,1939033.0,92.1,35980.0,432500.0,33.1,57.1,69.2,,
IL,17,Illinois,Midwest,1.775,2022,12582032.0,90.7,43317.0,251600.0,38.9,60.4,86.9,,
IN,18,Indiana,Midwest,2.039,2022,6833037.0,90.1,35984.0,208700.0,30.5,59.0,71.2,,
IA,19,Iowa,Midwest,2.071,2022,3200517.0,89.6,38917.0,194600.0,34.2,62.6,63.2,,
KS,20,Kansas,Midwest,1.962,2022,2937150.0,90.8,37919.0,206600.0,37.1,60.9,72.3,,
KY,21,Kentucky,South,1.964,2022,4512310.0,89.1,33980.0,196300.0,29.2,55.5,58.7,,
LA,22,Louisiana,South,2.057,2022,4590241.0,85.4,32171.0,209200.0,29.4,56.1,71.5,,
ME,23,Maine,Northeast,1.981,2022,1385340.0,90.7,41188.0,290600.0,38.8,59.3,38.6,,
MD,24,Maryland,South,1.76,2022,6164660.0,92.4,49236.0,398100.0,45.1,62.8,85.6,,
MA,25,Massachusetts,Northeast,1.52,2022,6981974.0,92.9,54025.0,534700.0,47.5,63.3,91.3,,
MI,26,Michigan,Midwest,1.758,2022,10034118.0,90.5,38151.0,224400.0,33.0,57.3,73.5,,
MN,27,Minnesota,Midwest,1.891,2022,5717184.0,92.0,45021.0,314600.0,41.0,64.2,71.9,,
MS,28,Mississippi,South,2.14,2022,2940057.0,84.3,29045.0,162500.0,27.5,53.6,46.3,,
MO,29,Missouri,Midwest,1.85,2022,6177957.0,89.5,36640.0,221200.0,33.6,58.9,69.5,,
MT,30,Montana,West,2.418,2022,1122867.0,89.2,38329.0,366400.0,36.2,60.3,53.4,,
NE,31,Nebraska,Midwest,2.14,2022,1967923.0,90.2,38997.0,232400.0,36.3,63.5,73.0,,
NV,32,Nevada,West,1.934,2022,3177772.0,91.5,38183.0,434700.0,28.2,58.6,94.1,,
NH,33,New Hampshire,Northeast,1.665,2022,1395231.0,93.9,49281.0,384700.0,42.2,61.9,58.3,,
NJ,34,New Jersey,Northeast,1.786,2022,9261699.0,93.0,51272.0,428900.0,44.1,60.9,93.8,,
NM,35,New Mexico,West,1.857,2022,2113344.0,86.6,33916.0,243100.0,32.9,54.2,74.5,,
